source_id,series_id,row_id,pixel_x,pixel_y,time_ps,normalized_signal,extraction_uncertainty,source_locator,series_mapping_status
ding_2022_fig1d_digitized,red_trace,red_trace:415,415,369.5,149.480969,0.43714286,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:416,416,372.5,153.633218,0.42,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:417,417,375.5,157.785467,0.40285714,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:418,418,378.0,161.937716,0.38857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:419,419,380.5,166.089965,0.37428571,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:420,420,385.0,170.242215,0.34857143,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:421,421,388.0,174.394464,0.33142857,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:422,422,391.0,178.546713,0.31428571,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:423,423,394.0,182.698962,0.29714286,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
ding_2022_fig1d_digitized,red_trace,red_trace:424,424,397.0,186.851211,0.28,0.011428571428571429,"Nature Communications 13, 285 (2022), Fig. 1d; color mapping remains open",OPEN_COLOR_TO_GRATING_PERIOD
