time_normalized,thermal_force_normalized,fourier_response_normalized,cattaneo_reference_normalized,cattaneo_numeric_normalized,linear_phi_response_normalized,nonlinear_C,nonlinear_Phi,nonlinear_Pi,trace_source_nonnegative,trace_observable_normalized,extended_energy_normalized,actual_delta_normalized,predicted_delta_normalized,ledger_closure_relative
0.0,0.0,0.0,-0.14669926650366752,-0.14669926650366752,-0.3412314188828936,0.3,0.0,0.0,0.5380168698178515,0.13450421745446287,0.024524999999999998,0.0,0.0,0.0
0.01,0.0074999296876977544,0.007499929687697754,-0.13936024604604172,-0.13936024539839872,-0.34015974895994916,0.2992960856173138,8.779838623359822e-07,0.00018236062096615025,0.5390784299291524,0.15561551491244974,0.024400599874939668,-6.174487376699178e-07,-6.174487377480089e-07,1.2539442077218325e-10
0.02,0.014999437506328091,0.01499943750632809,-0.1320133866113211,-0.1320133853984663,-0.3390689451408161,0.2986003236660912,3.7811346292335213e-06,0.00040489754918562117,0.5401399900404534,0.17672681237043658,0.024278028463136953,-6.083124013921137e-07,-6.083124014687795e-07,1.2385313373837252e-10
0.030000000000000002,0.02249810161055362,0.02249810161055362,-0.12465910145841175,-0.12465909975878965,-0.33795906878292165,0.29791268595525144,9.107156930198002e-06,0.0006668007229456268,0.5412015501517545,0.19783810982842348,0.024157284140470674,-5.991747716489748e-07,-5.991747717361892e-07,1.4173824556292565e-10
0.04,0.029995500202495664,0.02999550020249566,-0.11729780426391441,-0.11729780215217445,-0.33683018231651835,0.29723314430669784,1.7245703388062295e-05,0.0009672697833793067,0.5422631102630555,0.21894940728641032,0.024038368980747873,-5.900179973379605e-07,-5.900179974196887e-07,1.3360586083619133e-10
0.05,0.037491211555460265,0.03749121155546027,-0.10992990909885532,-0.1099299066460341,-0.3356823492411722,0.29656167054881577,2.85784710726191e-05,0.0013055139597495718,0.5433246703743565,0.2400607047443972,0.023921288502756224,-5.808254644260047e-07,-5.808254645155956e-07,1.4730916026590846e-10
0.060000000000000005,0.04498481403766024,0.04498481403766024,-0.10255583040539476,-0.10255582767908943,-0.334515634122191,0.2958982365101512,4.347929681453743e-05,0.0016807519562190428,0.5440845754373493,0.25661017370370326,0.02380605142828679,-5.715817421557412e-07,-5.71581742255292e-07,1.6461751244208663e-10
0.07,0.0524758861359318,0.0524758861359318,-0.09517598297351497,-0.09517598003804796,-0.33333010258699264,0.2952428140132601,6.231425139433265e-05,0.0020922118400876636,0.5448444805003422,0.2731596426630093,0.023692669450744937,-5.622725309864518e-07,-5.622725310903461e-07,1.7275715384710955e-10
0.08,0.0599640064794446,0.059964006479444595,-0.08779078191768808,-0.08779077883426412,-0.3321258213214134,0.294595374868733,8.54417326209741e-05,0.00253913093147976,0.5456043855633349,0.28970911162231533,0.02358115701398117,-5.528846123738218e-07,-5.528846124979361e-07,2.0750164522694708e-10
0.09000000000000001,0.06744875386340372,0.06744875386340372,-0.08040064265352623,-0.08040063948038143,-0.3309028580659569,0.2939558908693828,0.0001132125573145362,0.0030207556944624957,0.5463642906263277,0.3062585805816214,0.023471531100981692,-5.434058004301356e-07,-5.434058005514397e-07,2.038765415003558e-10
0.1,0.07492970727274234,0.07492970727274235,-0.07300598087441446,-0.07300597766695822,-0.3296612816119838,0.2933243337846011,0.00014597005220711622,0.003536341629577864,0.5471241956893206,0.32280804954092746,0.023363811032072815,-5.338248950589874e-07,-5.338248952026685e-07,2.427248019693898e-10
0.11,0.08240644590580369,0.08240644590580369,-0.06560721252812811,-0.06560720933907814,-0.32840116179784223,0.2927006753548716,0.0001840501437760653,0.004085153167770508,0.5475781732413061,0.3357460004579849,0.023258018272300486,-5.241316370710458e-07,-5.241316372236294e-07,2.590412413037905e-10
