x_normalized,localized_initial_C,canonical_C,canonical_trace_C,coupled_C,coupled_Phi,coupled_Pi,adiabatic_C,legacy_C
0.0,0.0500000000000057,0.049999999999993806,0.049999999999993806,0.049999999999993806,0.00021413893444825966,0.00018093624367498108,0.04999999999999379,0.044122934999040415
0.5,0.05000000000004082,0.04999999999998801,0.04999999999998801,0.04999999999998801,0.0002141389344483247,0.00018093624367500214,0.049999999999988,0.04412293499907152
1.0,0.05000000000027459,0.04999999999996747,0.04999999999996747,0.04999999999996747,0.00021413893444872353,0.0001809362436752416,0.04999999999996748,0.044122934999459
1.5,0.05000000000173545,0.050000000000028064,0.050000000000028064,0.05000000000002804,0.0002141389344513443,0.00018093624367708977,0.050000000000027744,0.044122935001766755
2.0,0.05000000001030381,0.05000000000094208,0.05000000000094208,0.050000000000941965,0.0002141389344677677,0.0001809362436878752,0.05000000000094044,0.044122935014644135
2.5,0.050000000057470025,0.05000000000557201,0.05000000000557201,0.05000000000557145,0.00021413893456547522,0.00018093624373815024,0.050000000005569284,0.044122935082287935
3.0,0.050000000301121374,0.05000000001626637,0.05000000001626637,0.05000000001626381,0.00021413893512523967,0.0001809362439422827,0.05000000001628298,0.04412293541670886
3.5,0.050000001482171354,0.04999999999031109,0.04999999999031109,0.049999999990295835,0.00021413893821071414,0.00018093624476836674,0.04999999999047478,0.04412293697236862
4.0,0.05000000685349089,0.04999999960033982,0.04999999960033982,0.049999999600233984,0.00021413895440246193,0.00018093624864883853,0.04999999960111593,0.04412294377978921
4.5,0.05000002977020737,0.0499999974781675,0.0499999974781675,0.04999999747749758,0.00021413903430966716,0.0001809362699008973,0.049999997480383085,0.04412297179441566
5.0,0.05000012148103265,0.04999999040947635,0.04999999040947635,0.04999999040582434,0.0002141394016838955,0.00018093638892025644,0.049999990410754286,0.04412308018839445
5.5,0.050000465684395,0.04999998058256697,0.04999998058256697,0.049999980565359634,0.00021414096640418439,0.00018093700720824287,0.04999998055331058,0.04412347439317465
6.0,0.050001676993927435,0.05000003662054245,0.05000003662054245,0.050000036549436355,0.00021414712486585722,0.0001809398876209564,0.050000036396532443,0.04412482151294207
6.5,0.050005673197329674,0.050000592399704016,0.050000592399704016,0.0500005921386858,0.0002141695105825828,0.00018095187327911156,0.050000591302195425,0.04412914585452188
7.0,0.05001802938382683,0.05000358000706179,0.05000358000706179,0.05000357914789588,0.00021424470310141036,0.000180996648152183,0.050003575729234084,0.04414218091563991
7.5,0.050053825797611466,0.050016018014672786,0.050016018014672786,0.0500160154613807,0.00021447836898025598,0.00018114785528446396,0.0500160038715856,0.04417906337177818
8.0,0.05015095818255613,0.05005979977044678,0.05005979977044678,0.05005979287550476,0.0002151512641696314,0.00018161256296827648,0.050059758866584696,0.04427697962988194
8.5,0.050397721838120774,0.05019499633028832,0.05019499633028832,0.05019497925901253,0.00021695110769430855,0.00018292059879262965,0.050194890458371305,0.044520764589400054
9.0,0.0509843710031823,0.05056842286128313,0.05056842286128313,0.050568383529574636,0.00022143884792128233,0.00018631554985535035,0.05056817246240933,0.04508965913768285
9.5,0.05228873115395572,0.05150171994788632,0.05150171994788632,0.05150163361607444,0.0002319332221373097,0.00019450979428775643,0.051501170047816944,0.04633314646549776
10.0,0.05499904844220904,0.05362789505174778,0.05362789505174778,0.05362770789734337,0.00025517702043597473,0.000213119670021764,0.05362675721910457,0.0488769850242858
10.5,0.060257381397625556,0.05806514284106973,0.05806514284106973,0.0580647191929273,0.000304632982302446,0.000253513043182002,0.05806279775570166,0.0537427547420083
11.0,0.06977162013053334,0.06658048177364198,0.06658048177364198,0.06657941420750038,0.000407314666033399,0.00033873397433066733,0.06657484945429142,0.06243423810442678
11.5,0.08580177892320245,0.08165307607972874,0.08165307607972874,0.08165006959552032,0.0006174073809325751,0.000515445390569788,0.08163576015329169,0.07690958305395716
12.0,0.11090087745647573,0.10630389209665154,0.10630389209665154,0.10629530919530157,0.0010392572109071169,0.000874516328784951,0.10624737348988975,0.09934032869333957
12.5,0.1473193250734493,0.14349224513121678,0.14349224513121678,0.14347037120347533,0.0018540017219098887,0.0015756292273537591,0.14333454564814743,0.13158705826036082
13.0,0.19609361031125738,0.19483477441526242,0.19483477441526242,0.19478966959421803,0.0033225102832249607,0.0028498697240022515,0.1944971292858848,0.17441922330688758
13.5,0.25602501279722645,0.2587472395978957,0.2587472395978957,0.25867778531955943,0.00571164468648588,0.004926258324051585,0.2582282214247416,0.22666286345968562
14.0,0.32293879687068505,0.3291910772294363,0.3291910772294363,0.32912002267777907,0.009108527885184625,0.007851130644108905,0.32867694376823076,0.2846114230415564
14.5,0.3896778208950533,0.39676619884866976,0.39676619884866976,0.3967373632772849,0.013201272777058858,0.011303408689708937,0.396580567391568,0.34207709817869875
15.0,0.44712360616306795,0.4519022921246913,0.4519022921246913,0.45195114907825706,0.017225422848813933,0.014608506875208498,0.4522745851703059,0.3913051765305092
15.5,0.48615495551435484,0.4875454557504347,0.4875454557504347,0.48766915782019615,0.020193351603909664,0.01698749080073978,0.4884281558011277,0.4246364136976651
16.0,0.5,0.49982108438388584,0.49982108438388584,0.49997545493799855,0.02128743891933087,0.017851997326925415,0.5009071868241369,0.43643753424357484
16.5,0.48615495551435484,0.4875454557504347,0.4875454557504347,0.48766915782019615,0.020193351603909664,0.01698749080073978,0.4884281558011277,0.4246364136976651
17.0,0.44712360616306795,0.4519022921246913,0.4519022921246913,0.45195114907825706,0.017225422848813933,0.014608506875208498,0.4522745851703059,0.3913051765305092
17.5,0.3896778208950533,0.39676619884866976,0.39676619884866976,0.3967373632772849,0.013201272777058858,0.011303408689708937,0.396580567391568,0.34207709817869875
18.0,0.32293879687068505,0.3291910772294363,0.3291910772294363,0.32912002267777907,0.009108527885184625,0.007851130644108905,0.32867694376823076,0.2846114230415564
18.5,0.25602501279722645,0.2587472395978957,0.2587472395978957,0.25867778531955943,0.00571164468648588,0.004926258324051585,0.2582282214247416,0.22666286345968562
19.0,0.19609361031125738,0.19483477441526242,0.19483477441526242,0.19478966959421803,0.0033225102832249607,0.0028498697240022515,0.1944971292858848,0.17441922330688758
19.5,0.1473193250734493,0.14349224513121678,0.14349224513121678,0.14347037120347533,0.0018540017219098887,0.0015756292273537591,0.14333454564814743,0.13158705826036082
20.0,0.11090087745647573,0.10630389209665154,0.10630389209665154,0.10629530919530157,0.0010392572109071169,0.000874516328784951,0.10624737348988975,0.09934032869333957
20.5,0.08580177892320245,0.08165307607972874,0.08165307607972874,0.08165006959552032,0.0006174073809325751,0.000515445390569788,0.08163576015329169,0.07690958305395716
21.0,0.06977162013053334,0.06658048177364198,0.06658048177364198,0.06657941420750038,0.000407314666033399,0.00033873397433066733,0.06657484945429142,0.06243423810442678
21.5,0.060257381397625556,0.05806514284106973,0.05806514284106973,0.0580647191929273,0.000304632982302446,0.000253513043182002,0.05806279775570166,0.0537427547420083
22.0,0.05499904844220904,0.05362789505174778,0.05362789505174778,0.05362770789734337,0.00025517702043597473,0.000213119670021764,0.05362675721910457,0.0488769850242858
22.5,0.05228873115395572,0.05150171994788632,0.05150171994788632,0.05150163361607444,0.0002319332221373097,0.00019450979428775643,0.051501170047816944,0.04633314646549776
23.0,0.0509843710031823,0.05056842286128313,0.05056842286128313,0.050568383529574636,0.00022143884792128233,0.00018631554985535035,0.05056817246240933,0.04508965913768285
23.5,0.050397721838120774,0.05019499633028832,0.05019499633028832,0.05019497925901253,0.00021695110769430855,0.00018292059879262965,0.050194890458371305,0.044520764589400054
24.0,0.05015095818255613,0.05005979977044678,0.05005979977044678,0.05005979287550476,0.0002151512641696314,0.00018161256296827648,0.050059758866584696,0.04427697962988194
24.5,0.050053825797611466,0.050016018014672786,0.050016018014672786,0.0500160154613807,0.00021447836898025598,0.00018114785528446396,0.0500160038715856,0.04417906337177818
25.0,0.05001802938382683,0.05000358000706179,0.05000358000706179,0.05000357914789588,0.00021424470310141036,0.000180996648152183,0.050003575729234084,0.04414218091563991
25.5,0.050005673197329674,0.050000592399704016,0.050000592399704016,0.0500005921386858,0.0002141695105825828,0.00018095187327911156,0.050000591302195425,0.04412914585452188
26.0,0.050001676993927435,0.05000003662054245,0.05000003662054245,0.050000036549436355,0.00021414712486585722,0.0001809398876209564,0.050000036396532443,0.04412482151294207
