label,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,max_abs_c,axis_default_threshold,axis_default_crossed,axis_default_xi_proxy,axis_default_xi_over_L,axis_default_pass,axis_lower_threshold,axis_lower_crossed,axis_lower_xi_proxy,axis_lower_xi_over_L,axis_lower_pass,structure_factor_xi_proxy,structure_factor_xi_over_L,structure_factor_total_power,structure_factor_mean_k2,structure_factor_rms_k,structure_factor_valid,structure_factor_pass
L16_s4000_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,0.20324987812603512,0.36787944117144233,True,3.1104830923144093,0.19440519326965058,False,0.3,True,3.322773953340772,0.20767337208379824,True,9.009546199026369,0.5630966374391481,122248.23319488509,0.48635558066350004,0.6973919849435467,True,True
L16_s4000_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,0.15146859204469754,0.36787944117144233,True,3.167034705164184,0.1979396690727615,False,0.3,True,3.388715737674424,0.2117947336046515,True,9.10521946246813,0.5690762164042581,66309.6327216602,0.4761884975030593,0.6900641256456238,True,True
L16_s4000_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,0.17226419177979999,0.36787944117144233,True,3.2408371663062288,0.2025523228941393,True,0.3,True,3.505630733339653,0.21910192083372831,True,8.878065640717363,0.5548791025448352,83498.46083785388,0.5008677087153593,0.7077200779371455,True,True
L16_s4800_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.0923336887791457e-17,0.1146122334244728,0.26677317010513885,0.36787944117144233,True,3.100642464357751,0.19379015402235944,False,0.3,True,3.3065390914096078,0.20665869321310049,True,9.02186566999651,0.5638666043747819,301243.8768460679,0.48502823821706204,0.6964396874224372,True,True
L16_s4800_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21002,OK,1.496198998029996e-17,0.10025833153114394,0.23463338028742267,0.36787944117144233,True,3.1762149207406343,0.19851343254628964,False,0.3,True,3.3913123756177685,0.21195702347611053,True,9.202545128194899,0.5751590705121812,227690.63340575996,0.466169467169887,0.6827660413127523,True,True
L16_s4800_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21003,OK,3.604972223514302e-18,0.1030430598636522,0.24466790547676254,0.36787944117144233,True,3.2434292022544833,0.2027143251409052,True,0.3,True,3.494259192995652,0.21839119956222824,True,8.994300939999755,0.5621438087499847,244029.67109936278,0.4880057146116717,0.6985740580723505,True,True
L16_s5600_fresh_seed21001,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.2061749168901237e-17,0.14051314729292413,0.29139105839167617,0.36787944117144233,True,3.120472042608606,0.19502950266303787,False,0.3,True,3.322732540119829,0.20767078375748932,True,9.131790565797603,0.5707369103623502,433478.8498361827,0.47342136318347816,0.6880562209467175,True,True
L16_s5600_fresh_seed21002,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21002,OK,4.5536491244391186e-17,0.1397381179864325,0.28531592728836835,0.36787944117144233,True,3.187699708304028,0.19923123176900176,False,0.3,True,3.3990661364420043,0.21244163352762527,True,9.277662197534335,0.5798538873458959,422177.4237191641,0.45865129635805957,0.6772379909293774,True,True
L16_s5600_fresh_seed21003,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21003,OK,8.860642254637785e-17,0.13588747542052781,0.2782166266969847,0.36787944117144233,True,3.2568730302821747,0.20355456439263592,True,0.3,True,3.4919991799044032,0.2182499487440252,True,9.199128550842602,0.5749455344276626,404458.42979908676,0.4665158042825865,0.6830196221797632,True,True
