label,repair_family,replicate_group,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,xi_proxy,xi_over_L,max_abs_c,order_preserving_xi_pass,seed_set
L8_wave20_seed_set_seed20001,finite_size_replication,L8_wave20_seed_set,8,8.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,20001,OK,6.5052130349130266e-18,0.053164872227726895,3.6329478213076705,0.4541184776634588,0.14310834514292392,True,wave20_seed_set
L8_wave20_seed_set_seed20002,finite_size_replication,L8_wave20_seed_set,8,8.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,20002,OK,1.452830911130576e-17,0.08019919944569462,3.599013900596841,0.4498767375746051,0.19725818624558664,True,wave20_seed_set
L8_wave20_seed_set_seed20003,finite_size_replication,L8_wave20_seed_set,8,8.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,20003,OK,4.1823098803628334e-17,0.06889021456798539,3.624035798760999,0.45300447484512485,0.1714891011550188,True,wave20_seed_set
L8_fresh_seed_set_seed21001,finite_size_replication,L8_fresh_seed_set,8,8.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,21001,OK,3.577867169202165e-18,0.053215560826663295,3.6324218562418853,0.45405273203023566,0.14391362621348464,True,fresh_seed_set
L8_fresh_seed_set_seed21002,finite_size_replication,L8_fresh_seed_set,8,8.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,21002,OK,3.745918505937418e-17,0.07522790360978554,3.6302528147067714,0.4537816018383464,0.18122420639631975,True,fresh_seed_set
L8_fresh_seed_set_seed21003,finite_size_replication,L8_fresh_seed_set,8,8.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,21003,OK,6.228741480929223e-17,0.0664093674919789,3.6221273450964997,0.45276591813706246,0.16859752187710525,True,fresh_seed_set
L12_wave20_seed_set_seed20001,finite_size_replication,L12_wave20_seed_set,12,12.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,20001,OK,1.662217455691839e-17,0.0805341871446542,2.968414059359082,0.2473678382799235,0.201361707383679,True,wave20_seed_set
L12_wave20_seed_set_seed20002,finite_size_replication,L12_wave20_seed_set,12,12.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,20002,OK,9.665662367708272e-17,0.06047809600765515,2.9581916976830236,0.24651597480691864,0.16961821085881645,True,wave20_seed_set
L12_wave20_seed_set_seed20003,finite_size_replication,L12_wave20_seed_set,12,12.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,20003,OK,2.99781900692242e-17,0.06983721145846247,2.9071122179498072,0.24225935149581726,0.1988426928067079,True,wave20_seed_set
L12_fresh_seed_set_seed21001,finite_size_replication,L12_fresh_seed_set,12,12.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,21001,OK,2.156207070530547e-17,0.06500371360934978,3.046474245160601,0.2538728537633834,0.1898259938662497,True,fresh_seed_set
L12_fresh_seed_set_seed21002,finite_size_replication,L12_fresh_seed_set,12,12.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,21002,OK,8.329383190119888e-17,0.09033296235172007,2.9415961634246517,0.24513301361872097,0.21955648293811209,True,fresh_seed_set
L12_fresh_seed_set_seed21003,finite_size_replication,L12_fresh_seed_set,12,12.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,21003,OK,1.4718044491490723e-16,0.07000705075741234,2.95538858261798,0.24628238188483167,0.18330538271594102,True,fresh_seed_set
L16_wave20_seed_set_seed20001,finite_size_replication,L16_wave20_seed_set,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20001,OK,1.9122615817213084e-17,0.05679449481990827,3.324806020508358,0.20780037628177236,0.1741185595835798,True,wave20_seed_set
L16_wave20_seed_set_seed20002,finite_size_replication,L16_wave20_seed_set,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20002,OK,8.632959798415829e-18,0.05052959260963907,3.2647510018466694,0.20404693761541684,0.17060806658556105,True,wave20_seed_set
L16_wave20_seed_set_seed20003,finite_size_replication,L16_wave20_seed_set,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,20003,OK,7.77237432400546e-18,0.053882669422536555,3.206843690502123,0.2004277306563827,0.17120706160451218,True,wave20_seed_set
L16_fresh_seed_set_seed21001,finite_size_replication,L16_fresh_seed_set,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,3.1104830923144093,0.19440519326965058,0.20324987812603512,False,fresh_seed_set
L16_fresh_seed_set_seed21002,finite_size_replication,L16_fresh_seed_set,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,3.167034705164184,0.1979396690727615,0.15146859204469754,False,fresh_seed_set
L16_fresh_seed_set_seed21003,finite_size_replication,L16_fresh_seed_set,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,3.2408371663062288,0.2025523228941393,0.17226419177979999,True,fresh_seed_set
