label,repair_family,replicate_group,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,xi_proxy,xi_over_L,max_abs_c,order_preserving_xi_pass
L16_s4000_fresh_seed21001,l16_relaxation_repair,L16_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,3.1104830923144093,0.19440519326965058,0.20324987812603512,False
L16_s4000_fresh_seed21002,l16_relaxation_repair,L16_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,3.167034705164184,0.1979396690727615,0.15146859204469754,False
L16_s4000_fresh_seed21003,l16_relaxation_repair,L16_s4000,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,3.2408371663062288,0.2025523228941393,0.17226419177979999,True
L16_s4800_fresh_seed21001,l16_relaxation_repair,L16_s4800,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.0923336887791457e-17,0.1146122334244728,3.100642464357751,0.19379015402235944,0.26677317010513885,False
L16_s4800_fresh_seed21002,l16_relaxation_repair,L16_s4800,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21002,OK,1.496198998029996e-17,0.10025833153114394,3.1762149207406343,0.19851343254628964,0.23463338028742267,False
L16_s4800_fresh_seed21003,l16_relaxation_repair,L16_s4800,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21003,OK,3.604972223514302e-18,0.1030430598636522,3.2434292022544833,0.2027143251409052,0.24466790547676254,True
L16_s5600_fresh_seed21001,l16_relaxation_repair,L16_s5600,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.2061749168901237e-17,0.14051314729292413,3.120472042608606,0.19502950266303787,0.29139105839167617,False
L16_s5600_fresh_seed21002,l16_relaxation_repair,L16_s5600,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21002,OK,4.5536491244391186e-17,0.1397381179864325,3.187699708304028,0.19923123176900176,0.28531592728836835,False
L16_s5600_fresh_seed21003,l16_relaxation_repair,L16_s5600,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21003,OK,8.860642254637785e-17,0.13588747542052781,3.2568730302821747,0.20355456439263592,0.2782166266969847,True
