status,info_coeff,game_coeff,kpz_coeff,beta,stderr,r_squared,p_value,max_abs_c,distance_to_ising,distance_to_mean_field
OK,0.0,0.0,0.25,0.48517663114169357,0.012476820775101226,0.9973617204506933,2.6124935045297743e-06,0.574455205349733,0.15867663114169356,0.01482336885830643
OK,0.0,0.01,0.25,0.4881109167935825,0.004233207208823616,0.9996992321841192,3.392638120680474e-08,0.5655291811779568,0.16161091679358247,0.011889083206417517
OK,0.0,0.05,0.25,0.4901065837201142,0.005678740186713152,0.999463277553175,1.0804595195464944e-07,0.5922743877175429,0.16360658372011416,0.009893416279885825
OK,0.0,0.2,0.25,0.48762492901802296,0.0077854039882538474,0.9989813900937902,3.8921948802542564e-07,0.5775469260863606,0.16112492901802294,0.012375070981977043
OK,0.0,1.0,0.25,0.481287292865316,0.010820899707633664,0.997982095105084,1.5280058277470817e-06,0.6034939760194737,0.154787292865316,0.01871270713468398
OK,0.5,0.0,0.25,0.5041578752063861,0.00397917767168072,0.9997508818682779,2.327437413216392e-08,0.6184495612100189,0.1776578752063861,0.004157875206386108
OK,0.5,0.01,0.25,0.5110936519924649,0.00464815646665075,0.9996692675284597,4.1023510844382905e-08,0.5972686174972263,0.1845936519924649,0.011093651992464926
OK,0.5,0.05,0.25,0.4945066225519957,0.014426614165397214,0.9966071193252054,4.321756268614798e-06,0.6050834330321155,0.16800662255199567,0.005493377448004322
OK,0.5,0.2,0.25,0.5070036515607266,0.012375242713104353,0.9976225492743858,2.121283981951201e-06,0.6105496493383147,0.18050365156072656,0.007003651560726576
OK,0.5,1.0,0.25,0.48339671784371946,0.0033809581042196077,0.9998043647077891,1.4353373885217281e-08,0.5994219150127957,0.15689671784371945,0.01660328215628054
OK,2.0,0.0,0.25,0.49624046010715067,0.007353511811186427,0.9991224256011138,2.888858328654374e-07,0.5903560865735474,0.16974046010715066,0.0037595398928493284
OK,2.0,0.01,0.25,0.5076825782961673,0.0033275507185809793,0.9998281892968541,1.1070228162827287e-08,0.5853886299345749,0.18118257829616724,0.007682578296167253
OK,2.0,0.05,0.25,0.4916026404900187,0.005544092168774947,0.9994915226925268,9.697237758087842e-08,0.5961708815061162,0.16510264049001872,0.008397359509981273
OK,2.0,0.2,0.25,0.5249802660004986,0.007756513732192258,0.9991275749825341,2.8550507302543125e-07,0.5768028584211647,0.19848026600049862,0.02498026600049863
OK,2.0,1.0,0.25,0.5113694332788702,0.0070258229683411826,0.9992455037778983,2.1352791722819027e-07,0.577234298719727,0.18486943327887018,0.011369433278870189
OK,5.0,0.0,0.25,0.5021380885133301,0.009645171744586465,0.9985263541566669,8.147623858306871e-07,0.6185732002762037,0.17563808851333007,0.002138088513330083
OK,5.0,0.01,0.25,0.509821520416089,0.006298573224459906,0.9993898410873193,1.396386165759024e-07,0.6036324166961661,0.18332152041608896,0.009821520416088969
OK,5.0,0.05,0.25,0.47304802447002403,0.008606010972589315,0.9986778560676385,6.558133308725829e-07,0.6054102974201245,0.14654802447002402,0.02695197552997597
OK,5.0,0.2,0.25,0.4842060769120034,0.013102575011873233,0.9970795978513481,3.201399312679876e-06,0.6089029034295452,0.1577060769120034,0.015793923087996597
OK,5.0,1.0,0.25,0.4761773061612153,0.006078886982827754,0.999348540045806,1.5918459959571936e-07,0.5927813602866138,0.14967730616121527,0.023822693838784714
