label,grid_L,domain_length,seed_set,seed,temperature,steps,dx,dt,kappa,status,mass_drift_abs,order_parameter,spinodal_margin,q_min,q_window_min,q_window_max,q_peak,ch_finite_k_xi_peak,ch_finite_k_xi_over_L,ch_finite_k_valid,ch_finite_k_invalid_reason,window_power_fraction,low_mode_power_fraction,zero_mode_power_fraction,peak_hits_low_window_edge,structure_factor_rms_xi_proxy,structure_factor_rms_xi_over_L,ch_finite_k_candidate_pass
L24_fresh_seed_set_seed21001,24,24.0,fresh_seed_set,21001,0.9,4000,1.0,0.05,0.1,OK,1.4121733296623695e-17,0.07106427677030727,0.09314610805479903,0.2617993877991494,0.5235987755982988,3.141592653589793,0.7404804896930609,8.485281374238571,0.3535533905932738,True,none,0.9919075162672952,0.008092467816977082,8.250208439729844e-35,False,8.757897210204275,0.3649123837585115,True
L24_fresh_seed_set_seed21002,24,24.0,fresh_seed_set,21002,0.9,4000,1.0,0.05,0.1,OK,6.365622005205518e-17,0.06327305988213751,0.09314610805479903,0.2617993877991494,0.5235987755982988,3.141592653589793,0.641274915080932,9.797958971132712,0.40824829046386296,True,none,0.9936426153475708,0.006357378480099341,2.688800837125146e-34,False,8.832767493977304,0.368031978915721,True
L28_fresh_seed_set_seed21001,28,28.0,fresh_seed_set,21001,0.9,4000,1.0,0.05,0.1,OK,1.0584523708889737e-16,0.06962465928219015,0.09496448755046459,0.2243994752564138,0.4487989505128276,3.141592653589793,0.7096134475568643,8.854377448471462,0.31622776601683794,True,none,0.9988955804219186,0.001104406128022298,1.505199551892641e-35,False,8.782658374104889,0.313666370503746,True
L28_fresh_seed_set_seed21002,28,28.0,fresh_seed_set,21002,0.9,4000,1.0,0.05,0.1,OK,8.124740030063249e-17,0.06653983736464475,0.09496448755046459,0.2243994752564138,0.4487989505128276,3.141592653589793,0.7096134475568643,8.854377448471462,0.31622776601683794,True,none,0.9994072299112042,0.0005927609723763482,1.623315888391319e-33,False,8.869544669430162,0.31676945247964866,True
