lane,seed,initial_mean,final_mean,mass_drift_abs,initial_order,final_order,order_growth_ratio,initial_xi,final_xi,xi_growth_ratio,xi_over_L_final,initial_domain_boundary_count,final_domain_boundary_count,max_abs_c,topic_reference_max_abs_delta,status
topic_model_c_reference,1301,0.00013450744103111714,0.00013450744103112033,3.198396408832238e-18,0.007924602991918316,0.7123194110320518,89.88707847680077,0.010024155059836623,0.1810831390947869,18.064678570299197,0.0028294240483560454,4068,252,1.208077915433205,nan,OK
core_conserved_order_spectral_v1,1301,0.00013450744103111714,0.00013450744103110472,1.2414114874959026e-17,0.007924602991918316,0.7123194110320518,89.88707847680077,0.010024155059836623,0.18108313909478693,18.064678570299197,0.002829424048356046,4068,252,1.208077915433205,3.83026943495679e-14,OK
core_conserved_order_v1_explicit,1301,0.00013450744103111714,0.0001345074410309538,1.6333505728494124e-16,0.007924602991918316,62.28723337441748,7859.981558437611,0.010024155059836623,0.006224599619530075,0.6209600292866504,9.725936905515742e-05,4068,5631,341.66786860592117,nan,UNSTABLE
topic_model_c_reference,1302,1.4593404278408995e-05,1.4593404278617772e-05,2.0877668083923995e-16,0.007935122804998678,0.7722054412223494,97.31486962443778,0.009822632722717013,0.30745681321814083,31.30085608383574,0.0048040127065334505,4065,128,1.355430637301479,nan,OK
core_conserved_order_spectral_v1,1302,1.4593404278408995e-05,1.4593404278895328e-05,4.863324369955291e-16,0.007935122804998678,0.7722054412220862,97.31486962440462,0.009822632722717013,0.30745681321818036,31.300856083839765,0.004804012706534068,4065,128,1.3554306373012985,2.8931301798706954e-12,OK
core_conserved_order_v1_explicit,1302,1.4593404278408995e-05,1.45934042785692e-05,1.6020442351188935e-16,0.007935122804998678,64.8109879633709,8167.609948335476,0.009822632722717013,0.006195355014559767,0.6307224538927977,9.680242210249636e-05,4065,5675,354.78896834042575,nan,UNSTABLE
topic_model_c_reference,1303,1.3017151833952814e-05,1.3017151833996047e-05,4.323256162785949e-17,0.007942333360485221,0.7908422737879512,99.5730395456023,0.009842776767489726,0.3000845165329869,30.487790551559936,0.00468882057082792,4074,128,1.3428517280792869,nan,OK
core_conserved_order_spectral_v1,1303,1.3017151833952814e-05,1.3017151834065599e-05,1.127841309928046e-16,0.007942333360485221,0.7908422737879561,99.57303954560291,0.009842776767489726,0.300084516532987,30.487790551559947,0.004688820570827922,4074,128,1.3428517280792662,2.9554136915521667e-13,OK
core_conserved_order_v1_explicit,1303,1.3017151833952814e-05,1.3017151834004287e-05,5.147249813874932e-17,0.007942333360485221,65.03997580459608,8189.026178148558,0.009842776767489726,0.006200985309608084,0.6300036520273096,9.689039546262631e-05,4074,5738,298.18261812729986,nan,UNSTABLE
