label,grid_L,domain_length,seed_set,seed,temperature,steps,dx,dt,kappa,status,mass_drift_abs,order_parameter,spinodal_margin,q_min,q_window_min,q_window_max,q_peak,ch_finite_k_xi_peak,ch_finite_k_xi_over_L,ch_finite_k_valid,ch_finite_k_invalid_reason,window_power_fraction,low_mode_power_fraction,zero_mode_power_fraction,peak_hits_low_window_edge,structure_factor_rms_xi_proxy,structure_factor_rms_xi_over_L,ch_finite_k_candidate_pass
L12_fresh_seed_set_seed21001,12,12.0,fresh_seed_set,21001,0.9,4000,1.0,0.05,0.1,OK,2.156207070530547e-17,0.06500371360934978,0.07258443221919621,0.5235987755982988,1.0471975511965976,3.141592653589793,1.0471975511965976,6.0,0.5,True,none,0.004103184521862405,0.9958968121724391,2.7284098756988065e-33,True,8.786879879865994,0.7322399899888329,False
L12_fresh_seed_set_seed21002,12,12.0,fresh_seed_set,21002,0.9,4000,1.0,0.05,0.1,OK,8.329383190119888e-17,0.09033296235172007,0.07258443221919621,0.5235987755982988,1.0471975511965976,3.141592653589793,1.0471975511965976,6.0,0.5,True,none,0.006164141642970358,0.9938358224043689,1.3873307196719811e-34,True,8.54383778942675,0.7119864824522292,False
L12_fresh_seed_set_seed21003,12,12.0,fresh_seed_set,21003,0.9,4000,1.0,0.05,0.1,OK,1.4718044491490723e-16,0.07000705075741234,0.07258443221919621,0.5235987755982988,1.0471975511965976,3.141592653589793,1.0471975511965976,6.0,0.5,True,none,0.004018600114295736,0.9959813919424161,1.075710637192058e-34,True,8.590768575828791,0.715897381319066,False
L12_probe_seed_set_seed22001,12,12.0,probe_seed_set,22001,0.9,4000,1.0,0.05,0.1,OK,8.630249292984615e-17,0.07372818926980701,0.07258443221919621,0.5235987755982988,1.0471975511965976,3.141592653589793,1.0471975511965976,6.0,0.5,True,none,0.009909862767464793,0.9900901222956722,5.417125757228973e-34,True,8.451129530283326,0.7042607941902772,False
L12_probe_seed_set_seed22002,12,12.0,probe_seed_set,22002,0.9,4000,1.0,0.05,0.1,OK,1.682681771697503e-16,0.058846287128307126,0.07258443221919621,0.5235987755982988,1.0471975511965976,3.141592653589793,1.1708024551734542,5.366563145999496,0.44721359549995804,True,none,0.0024529103005873723,0.9975470871045544,1.1399222240515432e-33,False,8.724745515358888,0.7270621262799074,False
L12_probe_seed_set_seed22003,12,12.0,probe_seed_set,22003,0.9,4000,1.0,0.05,0.1,OK,2.9232801075640413e-17,0.077885023899455,0.07258443221919621,0.5235987755982988,1.0471975511965976,3.141592653589793,1.0471975511965976,6.0,0.5,True,none,0.0064288126780163435,0.9935711684607705,3.01969460722695e-34,True,8.598051751003673,0.7165043125836394,False
L16_fresh_seed_set_seed21001,16,16.0,fresh_seed_set,21001,0.9,4000,1.0,0.05,0.1,OK,6.3696877633523385e-18,0.07037325646744333,0.08457874312329786,0.39269908169872414,0.7853981633974483,3.141592653589793,0.7853981633974483,8.0,0.5,True,none,0.18773031573367083,0.8122696750890276,4.0330895005831567e-35,True,9.009546199026369,0.5630966374391481,True
L16_fresh_seed_set_seed21002,16,16.0,fresh_seed_set,21002,0.9,4000,1.0,0.05,0.1,OK,5.9631119486702744e-18,0.0522286055288409,0.08457874312329786,0.39269908169872414,0.7853981633974483,3.141592653589793,0.7853981633974483,8.0,0.5,True,none,0.2091245104141685,0.7908754883378297,1.8588478231839172e-35,True,9.10521946246813,0.5690762164042581,True
L16_fresh_seed_set_seed21003,16,16.0,fresh_seed_set,21003,0.9,4000,1.0,0.05,0.1,OK,1.0055975149803054e-17,0.0582098377735417,0.08457874312329786,0.39269908169872414,0.7853981633974483,3.141592653589793,0.7853981633974483,8.0,0.5,True,none,0.3773772197778747,0.6226227759797002,1.5116176222752753e-34,True,8.878065640717363,0.5548791025448352,True
L16_probe_seed_set_seed22001,16,16.0,probe_seed_set,22001,0.9,4000,1.0,0.05,0.1,OK,7.860465750519907e-18,0.052890498909014046,0.08457874312329786,0.39269908169872414,0.7853981633974483,3.141592653589793,0.7853981633974483,8.0,0.5,True,none,0.2662619491604547,0.7337380498623545,4.2384495401633535e-34,True,9.111632851053885,0.5694770531908678,True
