label,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,max_abs_c,threshold_label,estimator_threshold,axis_corr_radius_1,axis_corr_radius_2,axis_corr_radius_3,axis_corr_radius_4,threshold_crossed,xi_proxy,xi_over_L,order_preserving_xi_pass
L16_s4000_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,0.20324987812603512,default_exp_minus_1,0.36787944117144233,0.9207910442349044,0.704012604942165,0.40320611764228514,0.08345876326600353,True,3.1104830923144093,0.19440519326965058,False
L16_s4000_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,0.20324987812603512,lower_0_30,0.3,0.9207910442349044,0.704012604942165,0.40320611764228514,0.08345876326600353,True,3.322773953340772,0.20767337208379824,True
L16_s4000_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,0.20324987812603512,lower_0_25,0.25,0.9207910442349044,0.704012604942165,0.40320611764228514,0.08345876326600353,True,3.4791474129352475,0.21744671330845297,True
L16_s4000_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21001,OK,6.3696877633523385e-18,0.07037325646744333,0.20324987812603512,lower_0_20,0.2,0.9207910442349044,0.704012604942165,0.40320611764228514,0.08345876326600353,True,3.6355208725297232,0.2272200545331077,True
L16_s4000_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,0.15146859204469754,default_exp_minus_1,0.36787944117144233,0.9224841005581362,0.7108364186848896,0.41902600213063373,0.11282280376585287,True,3.167034705164184,0.1979396690727615,False
L16_s4000_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,0.15146859204469754,lower_0_30,0.3,0.9224841005581362,0.7108364186848896,0.41902600213063373,0.11282280376585287,True,3.388715737674424,0.2117947336046515,True
L16_s4000_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,0.15146859204469754,lower_0_25,0.25,0.9224841005581362,0.7108364186848896,0.41902600213063373,0.11282280376585287,True,3.552005998086514,0.22200037488040714,True
L16_s4000_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21002,OK,5.9631119486702744e-18,0.0522286055288409,0.15146859204469754,lower_0_20,0.2,0.9224841005581362,0.7108364186848896,0.41902600213063373,0.11282280376585287,True,3.7152962584986042,0.23220601615616276,True
L16_s4000_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,0.17226419177979999,default_exp_minus_1,0.36787944117144233,0.9190899538468015,0.7050482723390799,0.42961769427680174,0.17326916613119914,True,3.2408371663062288,0.2025523228941393,True
L16_s4000_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,0.17226419177979999,lower_0_30,0.3,0.9190899538468015,0.7050482723390799,0.42961769427680174,0.17326916613119914,True,3.505630733339653,0.21910192083372831,True
L16_s4000_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,0.17226419177979999,lower_0_25,0.25,0.9190899538468015,0.7050482723390799,0.42961769427680174,0.17326916613119914,True,3.7006776889890363,0.23129235556181477,True
L16_s4000_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.08457874312329786,21003,OK,1.0055975149803054e-17,0.0582098377735417,0.17226419177979999,lower_0_20,0.2,0.9190899538468015,0.7050482723390799,0.42961769427680174,0.17326916613119914,True,3.8957246446384195,0.24348279028990122,True
L16_s4800_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.0923336887791457e-17,0.1146122334244728,0.26677317010513885,default_exp_minus_1,0.36787944117144233,0.92099640413215,0.7043632331861339,0.40105897566182697,0.07138168981514653,True,3.100642464357751,0.19379015402235944,False
L16_s4800_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.0923336887791457e-17,0.1146122334244728,0.26677317010513885,lower_0_30,0.3,0.92099640413215,0.7043632331861339,0.40105897566182697,0.07138168981514653,True,3.3065390914096078,0.20665869321310049,True
L16_s4800_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.0923336887791457e-17,0.1146122334244728,0.26677317010513885,lower_0_25,0.25,0.92099640413215,0.7043632331861339,0.40105897566182697,0.07138168981514653,True,3.4582025579162234,0.21613765986976397,True
L16_s4800_fresh_seed21001,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.0923336887791457e-17,0.1146122334244728,0.26677317010513885,lower_0_20,0.2,0.92099640413215,0.7043632331861339,0.40105897566182697,0.07138168981514653,True,3.609866024422839,0.22561662652642744,True
L16_s4800_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21002,OK,1.496198998029996e-17,0.10025833153114394,0.23463338028742267,default_exp_minus_1,0.36787944117144233,0.9240283902118179,0.7154395707542909,0.423488515452571,0.1079132279150415,True,3.1762149207406343,0.19851343254628964,False
L16_s4800_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21002,OK,1.496198998029996e-17,0.10025833153114394,0.23463338028742267,lower_0_30,0.3,0.9240283902118179,0.7154395707542909,0.423488515452571,0.1079132279150415,True,3.3913123756177685,0.21195702347611053,True
