label,grid_L,domain_length,seed_set,seed,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,status,mass_drift_abs,order_parameter,max_abs_c,axis_default_threshold,axis_default_crossed,axis_default_xi_proxy,axis_default_xi_over_L,axis_default_pass,axis_lower_threshold,axis_lower_crossed,axis_lower_xi_proxy,axis_lower_xi_over_L,axis_lower_pass,structure_factor_xi_proxy,structure_factor_xi_over_L,structure_factor_total_power,structure_factor_mean_k2,structure_factor_rms_k,structure_factor_valid,structure_factor_pass
L8_wave20_seed_set_seed20001,8,8.0,wave20_seed_set,20001,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,OK,6.5052130349130266e-18,0.053164872227726895,0.14310834514292392,0.36787944117144233,True,3.6329478213076705,0.4541184776634588,True,0.3,False,4.0,0.5,True,7.9883832587610355,0.9985479073451294,1070.708519477877,0.6186456321654301,0.7865402927793529,True,True
L8_wave20_seed_set_seed20002,8,8.0,wave20_seed_set,20002,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,OK,1.452830911130576e-17,0.08019919944569462,0.19725818624558664,0.36787944117144233,True,3.599013900596841,0.4498767375746051,True,0.3,False,4.0,0.5,True,7.958237522094576,0.994779690261822,2372.4052363717096,0.6233413579196035,0.7895197007799131,True,True
L8_wave20_seed_set_seed20003,8,8.0,wave20_seed_set,20003,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,OK,4.1823098803628334e-17,0.06889021456798539,0.1714891011550188,0.36787944117144233,True,3.624035798760999,0.45300447484512485,True,0.3,False,4.0,0.5,True,7.977639929217226,0.9972049911521532,1776.7040047105668,0.6203129897262593,0.787599510999251,True,True
L8_fresh_seed_set_seed21001,8,8.0,fresh_seed_set,21001,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,OK,3.577867169202165e-18,0.053215560826663295,0.14391362621348464,0.36787944117144233,True,3.6324218562418853,0.45405273203023566,True,0.3,False,4.0,0.5,True,7.988126725429043,0.9985158406786304,1070.0883576038757,0.6186853675825363,0.7865655519933074,True,True
L8_fresh_seed_set_seed21002,8,8.0,fresh_seed_set,21002,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,OK,3.745918505937418e-17,0.07522790360978554,0.18122420639631975,0.36787944117144233,True,3.6302528147067714,0.4537816018383464,True,0.3,False,4.0,0.5,True,7.975820173222025,0.9969775216527531,2138.2073730008483,0.6205960821311834,0.7877792089990592,True,True
L8_fresh_seed_set_seed21003,8,8.0,fresh_seed_set,21003,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.03831497249319149,OK,6.228741480929223e-17,0.0664093674919789,0.16859752187710525,0.36787944117144233,True,3.6221273450964997,0.45276591813706246,True,0.3,False,4.0,0.5,True,7.978172219741441,0.9972715274676801,1647.2491965413315,0.6202302199633043,0.7875469636556948,True,True
L12_wave20_seed_set_seed20001,12,12.0,wave20_seed_set,20001,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,OK,1.662217455691839e-17,0.0805341871446542,0.201361707383679,0.36787944117144233,True,2.968414059359082,0.2473678382799235,True,0.3,True,3.181511525424206,0.26512596045201714,True,8.614345562086667,0.7178621301738889,26808.876415265942,0.5320043188679937,0.7293862617762921,True,True
L12_wave20_seed_set_seed20002,12,12.0,wave20_seed_set,20002,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,OK,9.665662367708272e-17,0.06047809600765515,0.16961821085881645,0.36787944117144233,True,2.9581916976830236,0.24651597480691864,True,0.3,True,3.169256380966554,0.2641046984138795,True,8.608136301081647,0.7173446917568039,15766.183932569174,0.5327720913454042,0.7299123860747975,True,True
L12_wave20_seed_set_seed20003,12,12.0,wave20_seed_set,20003,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,OK,2.99781900692242e-17,0.06983721145846247,0.1988426928067079,0.36787944117144233,True,2.9071122179498072,0.24225935149581726,True,0.3,True,3.113318370839223,0.2594431975699352,True,8.478542299688318,0.7065451916406932,21107.37421593272,0.5491833403229879,0.7410690523311494,True,True
L12_fresh_seed_set_seed21001,12,12.0,fresh_seed_set,21001,0.9,0.09999999999999998,4000,0.05,1.0,0.1,0.07258443221919621,OK,2.156207070530547e-17,0.06500371360934978,0.1898259938662497,0.36787944117144233,True,3.046474245160601,0.2538728537633834,True,0.3,True,3.2678034674225542,0.2723169556185462,True,8.786879879865994,0.7322399899888329,18504.22049260978,0.5113171479059938,0.7150644361915881,True,True
