Step,Time,Energy,MeanC,MeanI
100,0.01,163.52298327498048,0.06673728420384044,0.08952352921383099
200,0.02,148.06822525427512,0.06673728420384044,0.08843348686193994
300,0.030000000000000002,135.47078615253255,0.06673728420384044,0.08735429115230463
400,0.04,124.82395171960667,0.06673728420384042,0.08628583415366162
500,0.05,115.59924483035263,0.06673728420384044,0.08522800900873492
600,0.060000000000000005,107.45928752423262,0.06673728420384042,0.08418070992354917
700,0.07,100.17481952180803,0.06673728420384044,0.08314383215684892
800,0.08,93.58271075104815,0.06673728420384044,0.08211727200962357
900,0.09000000000000001,87.56268008917081,0.06673728420384044,0.0811009268147362
1000,0.1,82.02347801551379,0.06673728420384044,0.08009469492665577
1100,0.11,76.8942408823688,0.06673728420384042,0.07909847571129161
1200,0.12000000000000001,72.11884651418899,0.06673728420384044,0.07811216953592867
1300,0.13,67.65209816079468,0.06673728420384044,0.07713567775926339
1400,0.14,63.45706774387856,0.06673728420384042,0.07616890272153834
1500,0.15,59.50319935157478,0.06673728420384042,0.07521174773477535
1600,0.16,55.76492585126684,0.06673728420384042,0.0742641170731055
1700,0.17,52.22064055927691,0.06673728420384042,0.0733259159631956
1800,0.18000000000000002,48.85192000813486,0.06673728420384044,0.07239705057476978
1900,0.19,45.642927740701296,0.06673728420384042,0.0714774280112255
2000,0.2,42.57995086815258,0.06673728420384042,0.07056695630034283
