federal_account,internal_account_id,account_title,agency_identifier,agency_name,bureau_name,snapshot_fiscal_year,budget_authority_usd,appropriations_usd,other_budgetary_resources_usd,balance_brought_forward_usd,obligated_usd,outlay_usd,unobligated_usd,budget_authority_minus_obligation_minus_unobligated_usd,program_activity_rows,tas_rows
089-0240,5787,"Weapons Activities, National Nuclear Security Administration, Energy",089,Department of Energy,National Nuclear Security Administration,2024,24318422753.04,19108000000.0,4339449823.58,870972929.46,23637473396.0,21572069455.21,680949357.04,0.0,34,21
089-0314,5801,"Naval Reactors, National Nuclear Security Administration, Energy",089,Department of Energy,National Nuclear Security Administration,2024,1886215385.32,1853200000.0,0.0,33015385.32,1859189504.77,1869684656.65,27025880.55,-0.0,12,16
