transaction_id,award_id,recipient_name,recipient_uei,action_date,transaction_amount_usd,award_type,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics_code,naics_description,psc_code,psc_description,transaction_description,primary_place_of_performance
292043461,89503323FWA000077,THE DAVEY TREE EXPERT COMPANY,J61NVAMM58M5,2024-09-25,0.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,F006,NATURAL RESOURCES/CONSERVATION- LAND TREATMENT PRACTICES,P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE FROM 8/20/2024 TO 12/31/2024.,"{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '7088', 'zip5': '95630'}"
292043462,89503323FWA000078,THE DAVEY TREE EXPERT COMPANY,J61NVAMM58M5,2024-09-25,0.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,F006,NATURAL RESOURCES/CONSERVATION- LAND TREATMENT PRACTICES,P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE FROM 8/20/2024 TO 12/31/2024.,"{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '7088', 'zip5': '95630'}"
292043465,89503323FWA000083,"MOUNTAIN F. ENTERPRISES, INC.",Y1XGTU6KJMM6,2024-09-25,0.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,F006,NATURAL RESOURCES/CONSERVATION- LAND TREATMENT PRACTICES,P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 10/31/2024.,"{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '7088', 'zip5': '95630'}"
292043466,89503323FWA000084,"MOUNTAIN F. ENTERPRISES, INC.",Y1XGTU6KJMM6,2024-09-25,0.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,F006,NATURAL RESOURCES/CONSERVATION- LAND TREATMENT PRACTICES,P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 10/31/2024.,"{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '7088', 'zip5': '95630'}"
292043467,89503323FWA000085,"MOUNTAIN F. ENTERPRISES, INC.",Y1XGTU6KJMM6,2024-09-25,0.0,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,F006,NATURAL RESOURCES/CONSERVATION- LAND TREATMENT PRACTICES,P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 10/31/2024.,"{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '7088', 'zip5': '95630'}"
292043520,89503324FWA000100,BLACK GOLD INDUSTRIES,FFY5KJTLPZV4,2024-09-25,86499.28,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,F999,OTHER ENVIRONMENTAL SERVICES,"WESTERN AREA POWER ADMINISTRATION (WAPA), SIERRA NEVADA REGION (SNR) REQUIRES FY25 QUARTERLY HAZARDOUS WASTE DISPOSAL SERVICES THROUGHOUT THE REGION IN ACCORDANCE WITH MASTER BLANKET PURCHASE AGREEMENT (BPA) PERFORMANCE WORK STATEMENT (PWS), BPA CALL","{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '4710', 'zip5': '95630'}"
292043543,89503324FWA400169,"MOUNTAIN F. ENTERPRISES, INC.",Y1XGTU6KJMM6,2024-09-25,125211.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561730,LANDSCAPING SERVICES,F014,NATURAL RESOURCES/CONSERVATION- TREE THINNING,WESTERN AREA POWER ADMINISTRATION (WAPA) SIERRA NEVADA REGION (SNR) REQUIRES VEGETATION MANAGEMENT SERVICES WITHIN ITS ELECTRICAL TRANSMISSION LINE RIGHT-OF-WAY (ROW) 190707A FOR THE AIRPORT-COTTONWOOD (AIR-CW) 230KV TRANSMISSION LINE.,"{'city_name': 'FOLSOM', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '067', 'county_name': 'SACRAMENTO', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '4710', 'zip5': '95630'}"
292044159,89503419FWA400532,ALUTIIQ COMMERCIAL ENTERPRISES LLC,QMJEKNF3JN15,2024-09-25,293264.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561210,FACILITIES SUPPORT SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,"MOD P00008: FUNDING FOR THE 6 MONTH EXTENSION FOR THE  ADMINISTRATIVE, PROPERTY MANAGEMENT, DRAFTER/CAD, AND ENGINEERING SUPPORT SERVICES CONTRACT POP EXTENSION FROM 9/30/2024 TO 3/30/25","{'city_name': 'ANCHORAGE', 'congressional_code': '00', 'country_name': 'UNITED STATES', 'county_code': '020', 'county_name': 'ANCHORAGE', 'location_country_code': 'USA', 'state_code': 'AK', 'state_name': 'Alaska', 'zip4': '5793', 'zip5': '99503'}"
292045420,89503424FWA401665,JP WHELAN CO,HUDMJ58CKB63,2024-09-25,159209.14,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,321114,WOOD PRESERVATION,5510,LUMBER AND RELATED BASIC WOOD MATERIALS,WOOD POLE RESTOCK - ARMOUR LINES,"{'city_name': 'AURORA', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '4732', 'zip5': '80010'}"
292045421,89503424FWA401666,JP WHELAN CO,HUDMJ58CKB63,2024-09-25,39692.44,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,321114,WOOD PRESERVATION,5510,LUMBER AND RELATED BASIC WOOD MATERIALS,WOOD POLE RESTOCK - RAPID CITY LINES,"{'city_name': 'AURORA', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '4732', 'zip5': '80010'}"
292045425,89503424FWA401671,JP WHELAN CO,HUDMJ58CKB63,2024-09-25,41920.2,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,321114,WOOD PRESERVATION,5510,LUMBER AND RELATED BASIC WOOD MATERIALS,"WOOD POLES, CLASS 2, PACIFIC DOUGLAS FIR, PENTACHLOROPHENOL PRESERVATIVE TREATMENT RESTOCK TO DEVILS LAKE, ND","{'city_name': 'AURORA', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '4732', 'zip5': '80010'}"
292045426,89503424FWA401672,JP WHELAN CO,HUDMJ58CKB63,2024-09-25,46578.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,321114,WOOD PRESERVATION,5510,LUMBER AND RELATED BASIC WOOD MATERIALS,"WOOD POLES, CLASS 2, PACIFIC DOUGLAS FIR, PENTACHLOROPHENOL PRESERVATIVE TREATMENT RESTOCK TO JAMESTOWN, ND","{'city_name': 'AURORA', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '4732', 'zip5': '80010'}"
292045427,89503424FWA401675,JP WHELAN CO,HUDMJ58CKB63,2024-09-25,443714.04,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,321114,WOOD PRESERVATION,5510,LUMBER AND RELATED BASIC WOOD MATERIALS,"WOOD POLES, CLASS 2, PACIFIC DOUGLAS FIR, PENTACHLOROPHENOL PRESERVATIVE TREATMENT, FOR EDGELEY, ND -FO PHASE 3","{'city_name': 'AURORA', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '4732', 'zip5': '80010'}"
292045430,89503424FWA401682,G & RK CONSULTING ASSOCIATES LLC,GDVCAY1FZKL6,2024-09-25,306316.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,335311,"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",5930,SWITCHES,"DISCONNECT SWITCH SPARES - 69KV, 115KV, 230KV - HURON WH","{'city_name': 'LITTLETON', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '1146', 'zip5': '80120'}"
292045431,89503424FWA401683,"ADVANCED COMPUTER CONCEPTS, INC.",CGE8ABMZLZN9,2024-09-25,362258.52,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541519,OTHER COMPUTER RELATED SERVICES,5945,RELAYS AND SOLENOIDS,SDMO RELAYS,"{'city_name': 'MCLEAN', 'congressional_code': '11', 'country_name': 'UNITED STATES', 'county_code': '059', 'county_name': 'FAIRFAX', 'location_country_code': 'USA', 'state_code': 'VA', 'state_name': 'Virginia', 'zip4': '3317', 'zip5': '22102'}"
292045525,89503424PWA001913,ITRON INC,JZ7PA8D2BFT3,2024-09-25,17941.0,PURCHASE ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,513210,SOFTWARE PUBLISHERS,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),"ITRON ON-SITE TRAINING TO SUPPORT, UPGRADE AND UPDATE FOR MV90XI SOFTWARE","{'city_name': 'LIBERTY LAKE', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '063', 'county_name': 'SPOKANE', 'location_country_code': 'USA', 'state_code': 'WA', 'state_name': 'Washington', 'zip4': '9469', 'zip5': '99019'}"
292045552,89503424PWA001956,CENTRAL DIVERS L.L.C,URL7BKF1LH66,2024-09-25,43800.0,PURCHASE ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,Z1PZ,MAINTENANCE OF OTHER NON-BUILDING FACILITIES,BSL-SU REPAIR STRUCTURE 15-6,"{'city_name': 'ARLINGTON', 'congressional_code': '00', 'country_name': 'UNITED STATES', 'county_code': '077', 'county_name': 'KINGSBURY', 'location_country_code': 'USA', 'state_code': 'SD', 'state_name': 'South Dakota', 'zip4': '2251', 'zip5': '57212'}"
292045844,89503524FSP400105,"GOVERNMENT MARKETING AND PROCUREMENT, LLC",E3W3M92ASRQ5,2024-09-25,139084.91,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",R617,SUPPORT - ADMINISTRATIVE: ELECTRONIC RECORDS MANAGEMENT SERVICES,SEPA DIGITIZATION OF PHYSICAL RECORDS,"{'city_name': 'ELBERTON', 'congressional_code': '10', 'country_name': 'UNITED STATES', 'county_code': '105', 'county_name': 'ELBERT', 'location_country_code': 'USA', 'state_code': 'GA', 'state_name': 'Georgia', 'zip4': '6711', 'zip5': '30635'}"
292048053,89603020P0048,REGAN TECHNOLOGIES CORP,PJ2BS3KYWKS5,2024-09-25,8012.31,PURCHASE ORDER,Department of Energy,Federal Energy Regulatory Commission,Department of Energy,Federal Energy Regulatory Commission,511210,SOFTWARE PUBLISHERS,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","AWARD OF THALES HARDWARE, MAINTENANCE AND SUPPORT.","{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0001', 'zip5': '20426'}"
292048323,89603023F0084,INDUSTRIAL ECONOMICS INC,F1BNQ68LSJ61,2024-09-25,164672.0,DELIVERY ORDER,Department of Energy,Federal Energy Regulatory Commission,Department of Energy,Federal Energy Regulatory Commission,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,B599,SPECIAL STUDIES/ANALYSIS- OTHER,ENVIRONMENTAL JUSTICE AND EQUITY SUPPORT SERVICES HEALTH IMPACT REVIEW REPORT,"{'city_name': 'CAMBRIDGE', 'congressional_code': '05', 'country_name': 'UNITED STATES', 'county_code': '017', 'county_name': 'MIDDLESEX', 'location_country_code': 'USA', 'state_code': 'MA', 'state_name': 'Massachusetts', 'zip4': '1340', 'zip5': '02140'}"
292048428,89603024F0056,CDW GOVERNMENT LLC,PHZDZ8SJ5CM1,2024-09-25,0.0,DELIVERY ORDER,Department of Energy,Federal Energy Regulatory Commission,Department of Energy,Federal Energy Regulatory Commission,541519,OTHER COMPUTER RELATED SERVICES,7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),DELL MONITORS AND DELL MICE,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0003', 'zip5': '20426'}"
292048452,89603024F0081,SOFTWARE INFORMATION RESOURCE CORP.,EJJMMJHYDFH6,2024-09-25,58911.36,DELIVERY ORDER,Department of Energy,Federal Energy Regulatory Commission,Department of Energy,Federal Energy Regulatory Commission,541519,OTHER COMPUTER RELATED SERVICES,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),QUEST ACTIVE ROLES RENEWAL/ONE IDENTITY,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0003', 'zip5': '20426'}"
292048454,89603024F0085,RED RIVER TECHNOLOGY LLC,JT4PZH4BX5T9,2024-09-25,6650.95,DELIVERY ORDER,Department of Energy,Federal Energy Regulatory Commission,Department of Energy,Federal Energy Regulatory Commission,541519,OTHER COMPUTER RELATED SERVICES,7E20,"IT AND TELECOM - END USER: HELP DESK;TIER 1-2,WORKSPACE,PRINT,OUTPUT,PRODUCTIVITY TOOLS (HW/PERP SW)",1YR HP PARTNER POLY+ BUSINESS MEDIA PHONE SERVICE,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0003', 'zip5': '20426'}"
295475790,DEAC0205CH11231,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,PKK5TD16N4H1,2024-09-25,47350367.23,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Defense,Defense Health Agency,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",M181,OPER OF GOVT R&D GOCO FACILITIES,"THIS IS A PERFORMANCE-BASED CONTRACT FOR MANAGEMENT AND OPERATION OF LBNL. THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE STRATEGIC PARTNERSHIP PROGRAM FUNDS IN THE AMOUNT OF $47,350,367.23 IN APPROPRIATED FUNDS AND $4,694,185.54 IN NON APPROPRIATED","{'city_name': 'BERKELEY', 'congressional_code': '12', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'ALAMEDA', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '8099', 'zip5': '94720'}"
295475814,DEAC0209CH11466,THE TRUSTEES OF PRINCETON UNIVERSITY,NJ1YPQXQG7U5,2024-09-25,39188100.66,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",M181,OPER OF GOVT R&D GOCO FACILITIES,MANAGEMENT AND OPERATING CONTRACT FOR THE MANAGEMENT AND OPERATION OF THE PRINCETON PLASMA PHYSICS LABORATORY (PPPL).,"{'city_name': 'PLAINSBORO', 'congressional_code': '12', 'country_name': 'UNITED STATES', 'county_code': '023', 'county_name': 'MIDDLESEX', 'location_country_code': 'USA', 'state_code': 'NJ', 'state_name': 'New Jersey', 'zip4': '0001', 'zip5': '08536'}"
295475814,DEAC0209CH11466,THE TRUSTEES OF PRINCETON UNIVERSITY,NJ1YPQXQG7U5,2024-09-25,0.0,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",M181,OPER OF GOVT R&D GOCO FACILITIES,MANAGEMENT AND OPERATING CONTRACT FOR THE MANAGEMENT AND OPERATION OF THE PRINCETON PLASMA PHYSICS LABORATORY (PPPL).,"{'city_name': 'PLAINSBORO', 'congressional_code': '12', 'country_name': 'UNITED STATES', 'county_code': '023', 'county_name': 'MIDDLESEX', 'location_country_code': 'USA', 'state_code': 'NJ', 'state_name': 'New Jersey', 'zip4': '0001', 'zip5': '08536'}"
295475814,DEAC0209CH11466,THE TRUSTEES OF PRINCETON UNIVERSITY,NJ1YPQXQG7U5,2024-09-25,223866.92,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Defense,Defense Advanced Research Projects Agency,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",M181,OPER OF GOVT R&D GOCO FACILITIES,MANAGEMENT AND OPERATING CONTRACT FOR THE MANAGEMENT AND OPERATION OF THE PRINCETON PLASMA PHYSICS LABORATORY (PPPL).,"{'city_name': 'PLAINSBORO', 'congressional_code': '12', 'country_name': 'UNITED STATES', 'county_code': '023', 'county_name': 'MIDDLESEX', 'location_country_code': 'USA', 'state_code': 'NJ', 'state_name': 'New Jersey', 'zip4': '0001', 'zip5': '08536'}"
295475824,DEAC0276SF00515,THE LELAND STANFORD JUNIOR UNIVERSITY,HJD6G4D6TJY5,2024-09-25,11120469.0,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",M181,OPER OF GOVT R&D GOCO FACILITIES,MANAGEMENT AND OPERATION AT SLAC NATIONAL ACCELERATOR LABORATORY TAS::  89 0222,"{'city_name': 'STANFORD', 'congressional_code': '16', 'country_name': 'UNITED STATES', 'county_code': '085', 'county_name': 'SANTA CLARA', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '4110', 'zip5': '94305'}"
295476124,DEAC0504OR22860,"ISOTEK SYSTEMS, LLC",WJZ8KR7KSA33,2024-09-25,0.0,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561990,ALL OTHER SUPPORT SERVICES,Z235,MAINT-REP-ALT/EPG - NUCLEAR,U-233 DISPOSITION PROJECT,"{'city_name': 'OAK RIDGE', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'ANDERSON', 'location_country_code': 'USA', 'state_code': 'TN', 'state_name': 'Tennessee', 'zip4': '8313', 'zip5': '37830'}"
295476174,DEAC0576RL01830,BATTELLE MEMORIAL INSTITUTE,CWKJEXDG79A7,2024-09-25,12255913.93,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",M181,OPER OF GOVT R&D GOCO FACILITIES,BATTELLE MEMORIAL INSTITUTE/PACIFIC NORTHWEST LABORATORY MANAGEMENT AND OPERATING CONTRACT: THIS UNILATERAL MOD OBLIGATES DOE (TAS 89 0222) FUNDING.,"{'city_name': 'RICHLAND', 'congressional_code': '04', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'BENTON', 'location_country_code': 'USA', 'state_code': 'WA', 'state_name': 'Washington', 'zip4': '1793', 'zip5': '99354'}"
295476437,DEAC0908SR22470,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,XLQ7CKUSQSD5,2024-09-25,3800000.0,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561210,FACILITIES SUPPORT SERVICES,M159,OPER OF GOVT OTHER INDUSTRIAL BLDG,"SAVANNAH RIVER OPERATIONS OFFICE MANAGEMENT & OPERATING (M&O) CONTRACT/OBLIGATE DOE FUNDS FOR FINPLAN 146 FOR FY24 AND INCORPORATE THE UPDATED LIST B, DATED 9/18/2024.","{'city_name': 'AIKEN', 'congressional_code': '02', 'country_name': 'UNITED STATES', 'county_code': '003', 'county_name': 'AIKEN', 'location_country_code': 'USA', 'state_code': 'SC', 'state_name': 'South Carolina', 'zip4': '0900', 'zip5': '29803'}"
295477012,DEAC3608GO28308,"ALLIANCE FOR ENERGY INNOVATION, LLC",DVGLNXBURMP3,2024-09-25,30729932.59,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Agency for International Development,Agency for International Development,541711,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,M181,OPER OF GOVT R&D GOCO FACILITIES,"MODIFICATION NUMBER 1445 PROVIDES TOTAL FUNDING IN THE AMOUNT OF $35,833,314.59. THIS INCLUDES APPROPRIATED FUNDING IN THE AMOUNT OF $30,729,932.59 AND IS REPORTED IN FPDS-NG, THE REMAINING NON-APPROPRIATED FUNDING IN THE AMOUNT OF $5,103,382.00 IS N","{'city_name': 'LAKEWOOD', 'congressional_code': '07', 'country_name': 'UNITED STATES', 'county_code': '059', 'county_name': 'JEFFERSON', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '3312', 'zip5': '80401'}"
295504617,DEBP0004765,LINK TECHNOLOGIES INC,G36RN4KDGX29,2024-09-25,-21403.85,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,"DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION (DOE/NNSA) ENTERPRISE WIDE TECHNICAL, ENGINEERING, AND PROGRAMMATIC SUPPORT SERVICES (TEPS) BLANKET PURCHASE AGREEMENT (BPA) BPA CALL FOR LINK TECHNOLOGIES, INC. (GSA MOBIS GS-10F-0044J)","{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0110', 'zip5': '20585'}"
295504936,DEBP0005221,"CRITERION SYSTEMS, L.L.C.",MPGNDNHHWM33,2024-09-25,-235352.66,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,U.S. DEPARTMENT OF ENERGY/NATIONAL NUCLEAR SECURITY ADMINISTRATION (DOE/NNSA) OFFICE OF INFORMATION MANAGEMENT AND CHIEF INFORMATION OFFICER (OCIO) PROJECT MANAGEMENT SUPPORT SERVICES,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0001', 'zip5': '20585'}"
295509363,DEDT0002100,"GONZALES-STOLLER REMEDIATION SERVICES, LLC",LR4FQVE7NVP7,2024-09-25,0.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,F999,OTHER ENVIRONMENTAL SERVICES,"TAS::89 0315::TAS IDIQ CONTRACT, CONTRACTOR SERVICES INCLUDING, BUT NOT LIMITED TO:  ENVIRONMENTAL REMEDIATION; DEACTIVATION, DECOMMISSIONING, DEMOLITION, AND REMOVAL OF FACILITIES (CONTAMINATED); REGULATORY SERVICES; WASTE MANAGEMENT AND TRANSPORTA","{'city_name': 'CINCINNATI', 'congressional_code': '01', 'country_name': 'UNITED STATES', 'county_code': '061', 'county_name': 'HAMILTON', 'location_country_code': 'USA', 'state_code': 'OH', 'state_name': 'Ohio', 'zip4': '2154', 'zip5': '45202'}"
295509366,DEDT0002105,"DYNAMIC MANAGEMENT SOLUTIONS, LLC",NRX4WGXGTJJ7,2024-09-25,0.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,562910,REMEDIATION SERVICES,F999,OTHER ENVIRONMENTAL SERVICES,"TAS::89 0315::TAS IDIQ CONTRACT, CONTRACTOR SERVICES INCLUDING, BUT NOT LIMITED TO:  ENVIRONMENTAL REMEDIATION; DEACTIVATION, DECOMMISSIONING, DEMOLITION, AND REMOVAL OF FACILITIES (CONTAMINATED); REGULATORY SERVICES; WASTE MANAGEMENT AND TRANSPORTA","{'city_name': 'CINCINNATI', 'congressional_code': '01', 'country_name': 'UNITED STATES', 'county_code': '061', 'county_name': 'HAMILTON', 'location_country_code': 'USA', 'state_code': 'OH', 'state_name': 'Ohio', 'zip4': '2154', 'zip5': '45202'}"
295517509,DEDT0013704,TECH2 SOLUTIONS,VFQ5KND77674,2024-09-25,0.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,Y1PZ,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,"KAZAKHSTAN TASK ORDER IN SUPPORT OF DESIGN, INTEGRATION, CONSTRUCTION, COMMUNICATION AND ENGINEERING 2 (DICCE2), KAZAKHSTAN.","{'city_name': None, 'congressional_code': None, 'country_name': 'KAZAKHSTAN', 'county_code': None, 'county_name': None, 'location_country_code': 'KAZ', 'state_code': None, 'state_name': None, 'zip4': None, 'zip5': None}"
