prime_award_id,prime_award_internal_id,subaward_id,subaward_number,action_date,action_fiscal_year_derived,amount_usd,recipient_name,description
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369260,200041,2025-05-20,2025,225680.0,"INSIGHT PIPE CONTRACTING, LLC",200041
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369261,200035,2025-05-20,2025,50450.0,"LAVISION, INC.",IMAGER CAMERAS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369262,200034,2025-05-20,2025,36682.0,"MES SERVICE COMPANY, LLC",200034
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369641,200045,2025-05-20,2025,95750.0,"NAVEX GLOBAL, INC",200045
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368744,200057,2025-05-21,2025,948771.0,AGX INC,BETTIS ENVIRONMENTAL SAMPLING AND INDEPENDENT OVERSIGHT SERVICES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369259,200058,2025-05-21,2025,424873.0,"OPTIVOR TECHNOLOGIES, LLC",NY PBX PHONE SUPPORT AND PATCHING
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368926,200083,2025-05-22,2025,81600.0,FACILITY SUPPORT SERVICES LLC,SCT-013 - AWARD
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369258,200078,2025-05-22,2025,265201.0,COLOSSAL CONTRACTING LLC,PO FOR OUTSTANDING INVOICE ON OLD HW SUPPORT PO 138328 WHICH WAS CLOSED.
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368759,200122,2025-05-27,2025,34511.0,APPLIED FLOW TECHNOLOGY LLC,200122
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368845,200015,2025-05-27,2025,189382.0,"COLUMBIA ENERGY & ENVIRONMENTAL SERVICES, INC.",MRC STORAGE STANDS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368932,200000,2025-05-27,2025,1713190.0,"MICHAEL STAPLETON ASSOCIATES, LTD.",200000
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369256,200149,2025-05-27,2025,59371.0,EXCELCO/NEWBROOK INC,TS 150B COVERS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369257,200089,2025-05-27,2025,60146.0,COLOSSAL CONTRACTING LLC,FY25 ITP F5 LICENSE RENEWAL
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369600,200133,2025-05-27,2025,181500.0,BAKER AND ASSOCIATES,200133
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369252,200019,2025-05-28,2025,33556.0,HEATH CONSULTANTS INC,METHANE DETECTORS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369253,200161,2025-05-28,2025,43000.0,CUSTOM TOOL & MODEL CORP.,TEST ARTICLE 28
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369254,200147,2025-05-28,2025,32845.0,HI-Q ENVIRONMENTAL PRODUCTS CO INC,CHAUVIN � LDA MON. AIR SAMPLER � 3/7/25
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369255,200146,2025-05-28,2025,127224.0,SOLVUS GLOBAL LLC,GAS METAL ARC WELDING DEVELOPMENT
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369599,200151,2025-05-28,2025,233278.0,BAKER AND ASSOCIATES,200151
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368853,200166,2025-05-29,2025,193720.0,"VISION RESEARCH, INC",200166
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369248,200176,2025-05-29,2025,285000.0,COLOSSAL CONTRACTING LLC,VIDEO CONFERENCING MAINTENANCE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369249,200157,2025-05-29,2025,55300.0,"RAINBOW RESEARCH OPTICS, LLC",TS-150B WINDOWS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369250,200012,2025-05-29,2025,2139886.0,"SOUTHWORTH-MILTON, INC.",PREVENTATIVE AND CORRECTIVE MAINTENANCE ON KNOLLS DIESEL GENERATORS AND TRANSFER SWITCHES
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369251,200164,2025-05-29,2025,248596.0,SYNERTECH PM INC.,200164
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369244,200092,2025-05-30,2025,32430.0,"NORTHERN SPECIALTY METALS, INC.",ALLOY 625 PLATS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369245,200134,2025-05-30,2025,67540.0,STERLING COMPUTERS CORPORATION,FY25 DOCAVE BACK UP AND RECOVERY MAINTENANCE RENEWAL
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369246,200155,2025-05-30,2025,1154736350.0,KIEWIT POWER CONSTRUCTORS CO,CONSTRUCTION SUBCONTRACT (CS)-111G BUILDING OUTFITTING
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369247,200020,2025-05-30,2025,4541588.0,COLOSSAL CONTRACTING LLC,SOC 24 / 7 SUBCONTRACTORS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345022,200165,2025-06-02,2025,55825.0,"FLUOR MARINE PROPULSION, LLC",LEGND REFERENCE STANDARDS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368724,200233,2025-06-02,2025,893150.0,"JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC",2537E
