endpoint,record_date,classification_desc,amount_field,amount_usd,fiscal_year
mts_table_4,2024-09-30,Individual Income Taxes,,,2024
mts_table_4,2024-09-30,Miscellaneous Excise Taxes,current_fytd_net_rcpt_amt,41529045856.35,2024
mts_table_4,2024-09-30,Miscellaneous Receipts:,,,2024
mts_table_4,2024-09-30,Non-Federal Employees Retirement,current_fytd_net_rcpt_amt,23219041.77,2024
mts_table_4,2024-09-30,Other,current_fytd_gross_rcpt_amt,959070921625.37,2024
mts_table_4,2024-09-30,Other Retirement:,,,2024
mts_table_4,2024-09-30,Presidential Election Campaign Fund,current_fytd_gross_rcpt_amt,21403197.0,2024
mts_table_4,2024-09-30,Rail Pension and Supplemental Annuity,current_fytd_net_rcpt_amt,3682807429.73,2024
mts_table_4,2024-09-30,Railroad Retirement:,,,2024
mts_table_4,2024-09-30,Railroad Unemployment Taxes,current_fytd_net_rcpt_amt,158718628.69,2024
mts_table_4,2024-09-30,Receipts from Railroad Retirement Board,current_fytd_net_rcpt_amt,645200000.0,2024
mts_table_4,2024-09-30,Self-Employment Contributions Act Taxes,current_fytd_net_rcpt_amt,26497000000.0,2024
mts_table_4,2024-09-30,Self-Employment Contributions Act Taxes,current_fytd_net_rcpt_amt,9250000000.0,2024
mts_table_4,2024-09-30,Self-Employment Contributions Act Taxes,current_fytd_net_rcpt_amt,54478000000.0,2024
mts_table_4,2024-09-30,Social Insurance and Retirement Receipts:,,,2024
mts_table_4,2024-09-30,Social Security Equivalent Account,current_fytd_net_rcpt_amt,2574627010.09,2024
mts_table_4,2024-09-30,Total -- Employment and General Retirement,current_fytd_net_rcpt_amt,1652997812476.74,2024
mts_table_4,2024-09-30,Total -- Excise Taxes,current_fytd_net_rcpt_amt,101435326697.24,2024
mts_table_4,2024-09-30,Total -- Federal Disability Insurance Trust Fund,current_fytd_net_rcpt_amt,182898745559.24,2024
mts_table_4,2024-09-30,Total -- Federal Hospital Insurance Trust Fund,current_fytd_net_rcpt_amt,386857646680.04,2024
mts_table_4,2024-09-30,Total -- Federal Old-Age and Survivors Insurance Trust Fund,current_fytd_net_rcpt_amt,1076983985797.64,2024
mts_table_4,2024-09-30,Total -- Individual Income Taxes,current_fytd_net_rcpt_amt,2426066988325.89,2024
mts_table_4,2024-09-30,Total -- Miscellaneous Receipts,current_fytd_net_rcpt_amt,43155255587.28,2024
mts_table_4,2024-09-30,Total -- Off-Budget,current_fytd_net_rcpt_amt,1259882731356.88,2024
mts_table_4,2024-09-30,Total -- On-Budget,current_fytd_net_rcpt_amt,3658852913381.37,2024
mts_table_4,2024-09-30,Total -- Other Retirement,current_fytd_net_rcpt_amt,7953956052.72,2024
mts_table_4,2024-09-30,Total -- Receipts,current_fytd_net_rcpt_amt,4918735644738.25,2024
mts_table_4,2024-09-30,Total -- Social Insurance and Retirement Receipts,current_fytd_net_rcpt_amt,1709558485436.4,2024
mts_table_4,2024-09-30,Total -- Unemployment Insurance,current_fytd_net_rcpt_amt,48606716906.94,2024
mts_table_4,2024-09-30,Unemployment Insurance:,,,2024
mts_table_4,2024-09-30,Universal Service Fund,current_fytd_net_rcpt_amt,8375871394.62,2024
